2023-04-17 12:04:58,181 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Configure stats pid to 16944
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Loading settings from C:\Users\emil\.config\wandb\settings
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Loading settings from C:\Users\emil\Bachelor\RL-SC2-bot\wandb\settings
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'QueueEnv.py', 'program': 'c:\\Users\\emil\\Bachelor\\RL-SC2-bot\\QueueEnv.py'}
2023-04-17 12:04:58,182 INFO    MainThread:16944 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2023-04-17 12:04:58,183 INFO    MainThread:16944 [wandb_init.py:_log_setup():506] Logging user logs to C:\Users\emil\Bachelor\RL-SC2-bot\wandb\offline-run-20230417_120458-8tsva5k6\logs\debug.log
2023-04-17 12:04:58,183 INFO    MainThread:16944 [wandb_init.py:_log_setup():507] Logging internal logs to C:\Users\emil\Bachelor\RL-SC2-bot\wandb\offline-run-20230417_120458-8tsva5k6\logs\debug-internal.log
2023-04-17 12:04:58,184 INFO    MainThread:16944 [wandb_init.py:init():546] calling init triggers
2023-04-17 12:04:58,184 INFO    MainThread:16944 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'Model': 'v19', 'Machine': 'Main', 'policy': 'MlpPolicy', 'model_save_name': '1681725891'}
2023-04-17 12:04:58,185 INFO    MainThread:16944 [wandb_init.py:init():602] starting backend
2023-04-17 12:04:58,185 INFO    MainThread:16944 [wandb_init.py:init():606] setting up manager
2023-04-17 12:04:58,198 INFO    MainThread:16944 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-17 12:04:58,213 INFO    MainThread:16944 [wandb_init.py:init():613] backend started and connected
2023-04-17 12:04:58,223 INFO    MainThread:16944 [wandb_init.py:init():701] updated telemetry
2023-04-17 12:04:58,507 INFO    MainThread:16944 [wandb_init.py:init():789] starting run threads in backend
2023-04-17 12:04:58,940 INFO    MainThread:16944 [wandb_run.py:_console_start():2114] atexit reg
2023-04-17 12:04:58,940 INFO    MainThread:16944 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-17 12:04:58,940 INFO    MainThread:16944 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-17 12:04:58,940 INFO    MainThread:16944 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-17 12:04:58,940 INFO    MainThread:16944 [wandb_init.py:init():831] run started, returning control to user process
2023-04-17 12:04:59,982 WARNING MsgRouterThr:16944 [router.py:message_loop():77] message_loop has been closed
