2023-06-01 15:05:53,542 INFO    StreamThr :21484 [internal.py:wandb_internal():86] W&B internal server running at pid: 21484, started at: 2023-06-01 15:05:53.542827
2023-06-01 15:05:53,543 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: status
2023-06-01 15:05:53,545 INFO    WriterThread:21484 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\run-n9b3onhc.wandb
2023-06-01 15:05:53,546 DEBUG   SenderThread:21484 [sender.py:send():375] send: header
2023-06-01 15:05:53,546 DEBUG   SenderThread:21484 [sender.py:send():375] send: run
2023-06-01 15:05:54,189 INFO    SenderThread:21484 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files
2023-06-01 15:05:54,189 INFO    SenderThread:21484 [sender.py:_start_run_threads():1124] run started: n9b3onhc with start time 1685624753.543823
2023-06-01 15:05:54,189 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: summary_record
2023-06-01 15:05:54,189 INFO    SenderThread:21484 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-01 15:05:54,191 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: check_version
2023-06-01 15:05:54,191 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: check_version
2023-06-01 15:05:54,347 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: run_start
2023-06-01 15:05:54,362 DEBUG   HandlerThread:21484 [system_info.py:__init__():31] System info init
2023-06-01 15:05:54,362 DEBUG   HandlerThread:21484 [system_info.py:__init__():46] System info init done
2023-06-01 15:05:54,362 INFO    HandlerThread:21484 [system_monitor.py:start():181] Starting system monitor
2023-06-01 15:05:54,362 INFO    SystemMonitor:21484 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-01 15:05:54,362 INFO    HandlerThread:21484 [system_monitor.py:probe():201] Collecting system info
2023-06-01 15:05:54,362 INFO    SystemMonitor:21484 [interfaces.py:start():190] Started cpu monitoring
2023-06-01 15:05:54,362 INFO    SystemMonitor:21484 [interfaces.py:start():190] Started disk monitoring
2023-06-01 15:05:54,362 INFO    SystemMonitor:21484 [interfaces.py:start():190] Started gpu monitoring
2023-06-01 15:05:54,378 INFO    SystemMonitor:21484 [interfaces.py:start():190] Started memory monitoring
2023-06-01 15:05:54,378 INFO    SystemMonitor:21484 [interfaces.py:start():190] Started network monitoring
2023-06-01 15:05:54,393 DEBUG   HandlerThread:21484 [system_info.py:probe():195] Probing system
2023-06-01 15:05:54,393 DEBUG   HandlerThread:21484 [system_info.py:probe():240] Probing system done
2023-06-01 15:05:54,393 DEBUG   HandlerThread:21484 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-01T13:05:54.393983', 'startedAt': '2023-06-01T13:05:53.524668', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'c:\\Users\\Emil WC\\Bachelor\\RL-SC2-bot\\testLoc.py', 'codePath': 'testLoc.py', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 661.9318046569824}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-01 15:05:54,393 INFO    HandlerThread:21484 [system_monitor.py:probe():211] Finished collecting system info
2023-06-01 15:05:54,393 INFO    HandlerThread:21484 [system_monitor.py:probe():214] Publishing system info
2023-06-01 15:05:54,393 DEBUG   HandlerThread:21484 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-01 15:05:54,393 DEBUG   HandlerThread:21484 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-01 15:05:54,393 INFO    HandlerThread:21484 [system_monitor.py:probe():216] Finished publishing system info
2023-06-01 15:05:54,409 DEBUG   SenderThread:21484 [sender.py:send():375] send: files
2023-06-01 15:05:54,409 INFO    SenderThread:21484 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-01 15:05:54,409 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: stop_status
2023-06-01 15:05:54,409 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: stop_status
2023-06-01 15:05:54,704 DEBUG   SenderThread:21484 [sender.py:send():375] send: telemetry
2023-06-01 15:05:54,704 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-01 15:05:54,705 DEBUG   SenderThread:21484 [sender.py:send():375] send: config
2023-06-01 15:05:54,705 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: log_artifact
2023-06-01 15:05:55,180 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: partial_history
2023-06-01 15:05:55,208 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\media\table\episode_rewards_table_0_9cf5c842719d57b17950.table.json
2023-06-01 15:05:55,208 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\output.log
2023-06-01 15:05:55,208 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\requirements.txt
2023-06-01 15:05:55,208 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\wandb-metadata.json
2023-06-01 15:05:55,209 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\wandb-summary.json
2023-06-01 15:05:55,209 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\media
2023-06-01 15:05:55,209 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\media\table
2023-06-01 15:05:55,490 INFO    wandb-upload_0:21484 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmprpc4bvajwandb\xkoguv2x-wandb-metadata.json
2023-06-01 15:05:56,182 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-01 15:05:56,582 INFO    wandb-upload_0:21484 [upload_job.py:push():95] Uploaded file C:\Users\Emil WC\AppData\Local\wandb\wandb\artifacts\staging\tmpas1xz5fu
2023-06-01 15:05:57,218 INFO    Thread-12 :21484 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230601_150553-n9b3onhc\files\output.log
2023-06-01 15:05:58,016 INFO    SenderThread:21484 [sender.py:send_request_log_artifact():1438] logged artifact run-n9b3onhc-episode_rewards_table - {'id': 'QXJ0aWZhY3Q6NDczNzg4NDYw', 'digest': '89edd99f27f4b6eb82cca2b507b2d8a0', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjczNDgxNTc4', 'latestArtifact': None}, 'version': 'latest'}
2023-06-01 15:05:58,016 DEBUG   SenderThread:21484 [sender.py:send():375] send: files
2023-06-01 15:05:58,017 INFO    SenderThread:21484 [sender.py:_save_file():1378] saving file media\table\episode_rewards_table_0_9cf5c842719d57b17950.table.json with policy now
2023-06-01 15:05:58,017 DEBUG   SenderThread:21484 [sender.py:send():375] send: history
2023-06-01 15:05:58,017 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: summary_record
2023-06-01 15:05:58,018 INFO    SenderThread:21484 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-01 15:05:58,018 DEBUG   SenderThread:21484 [sender.py:send():375] send: telemetry
2023-06-01 15:05:58,018 DEBUG   SenderThread:21484 [sender.py:send():375] send: exit
2023-06-01 15:05:58,018 INFO    SenderThread:21484 [sender.py:send_exit():598] handling exit code: 0
2023-06-01 15:05:58,018 INFO    SenderThread:21484 [sender.py:send_exit():600] handling runtime: 0
2023-06-01 15:05:58,018 INFO    SenderThread:21484 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-01 15:05:58,018 INFO    SenderThread:21484 [sender.py:send_exit():606] send defer
2023-06-01 15:05:58,019 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: poll_exit
2023-06-01 15:05:58,019 DEBUG   HandlerThread:21484 [handler.py:handle_request():144] handle_request: defer
2023-06-01 15:05:58,019 INFO    HandlerThread:21484 [handler.py:handle_request_defer():170] handle defer: 0
2023-06-01 15:05:58,019 DEBUG   SenderThread:21484 [sender.py:send_request():402] send_request: defer
2023-06-01 15:05:58,019 INFO    SenderThread:21484 [sender.py:send_request_defer():622] handle sender defer: 0
