2023-06-03 11:04:42,503 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-03 11:04:42,504 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Configure stats pid to 3644
2023-06-03 11:04:42,504 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Emil WC\.config\wandb\settings
2023-06-03 11:04:42,504 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\settings
2023-06-03 11:04:42,504 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-03 11:04:42,504 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-03 11:04:42,505 INFO    MainThread:3644 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'QueueEnv.py', 'program': 'c:\\Users\\Emil WC\\Bachelor\\RL-SC2-bot\\QueueEnv.py'}
2023-06-03 11:04:42,505 INFO    MainThread:3644 [wandb_init.py:_log_setup():507] Logging user logs to C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230603_110442-a4hul0bo\logs\debug.log
2023-06-03 11:04:42,505 INFO    MainThread:3644 [wandb_init.py:_log_setup():508] Logging internal logs to C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230603_110442-a4hul0bo\logs\debug-internal.log
2023-06-03 11:04:42,506 INFO    MainThread:3644 [wandb_init.py:init():547] calling init triggers
2023-06-03 11:04:42,506 INFO    MainThread:3644 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-03 11:04:42,506 INFO    MainThread:3644 [wandb_init.py:init():596] starting backend
2023-06-03 11:04:42,506 INFO    MainThread:3644 [wandb_init.py:init():600] setting up manager
2023-06-03 11:04:42,511 INFO    MainThread:3644 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-06-03 11:04:42,514 INFO    MainThread:3644 [wandb_init.py:init():606] backend started and connected
2023-06-03 11:04:42,517 INFO    MainThread:3644 [wandb_init.py:init():700] updated telemetry
2023-06-03 11:04:42,548 INFO    MainThread:3644 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-03 11:04:43,089 INFO    MainThread:3644 [wandb_run.py:_on_init():2177] communicating current version
2023-06-03 11:04:43,319 INFO    MainThread:3644 [wandb_run.py:_on_init():2186] got version response 
2023-06-03 11:04:43,319 INFO    MainThread:3644 [wandb_init.py:init():787] starting run threads in backend
2023-06-03 11:04:43,451 INFO    MainThread:3644 [wandb_run.py:_console_start():2158] atexit reg
2023-06-03 11:04:43,451 INFO    MainThread:3644 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-03 11:04:43,452 INFO    MainThread:3644 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-03 11:04:43,452 INFO    MainThread:3644 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-03 11:04:43,452 INFO    MainThread:3644 [wandb_init.py:init():829] run started, returning control to user process
