2023-06-12 15:58:09,043 INFO    StreamThr :26136 [internal.py:wandb_internal():86] W&B internal server running at pid: 26136, started at: 2023-06-12 15:58:09.043102
2023-06-12 15:58:09,049 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: status
2023-06-12 15:58:09,049 INFO    WriterThread:26136 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\run-ily8k7fn.wandb
2023-06-12 15:58:09,054 DEBUG   SenderThread:26136 [sender.py:send():375] send: header
2023-06-12 15:58:09,124 DEBUG   SenderThread:26136 [sender.py:send():375] send: run
2023-06-12 15:58:09,972 INFO    SenderThread:26136 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files
2023-06-12 15:58:09,972 INFO    SenderThread:26136 [sender.py:_start_run_threads():1124] run started: ily8k7fn with start time 1686578289.049191
2023-06-12 15:58:09,972 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: summary_record
2023-06-12 15:58:09,972 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-12 15:58:09,972 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: check_version
2023-06-12 15:58:09,972 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: check_version
2023-06-12 15:58:10,104 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: run_start
2023-06-12 15:58:10,120 DEBUG   HandlerThread:26136 [system_info.py:__init__():31] System info init
2023-06-12 15:58:10,120 DEBUG   HandlerThread:26136 [system_info.py:__init__():46] System info init done
2023-06-12 15:58:10,120 INFO    HandlerThread:26136 [system_monitor.py:start():181] Starting system monitor
2023-06-12 15:58:10,120 INFO    SystemMonitor:26136 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-12 15:58:10,120 INFO    HandlerThread:26136 [system_monitor.py:probe():201] Collecting system info
2023-06-12 15:58:10,120 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started cpu monitoring
2023-06-12 15:58:10,120 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started disk monitoring
2023-06-12 15:58:10,120 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started gpu monitoring
2023-06-12 15:58:10,155 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started memory monitoring
2023-06-12 15:58:10,176 DEBUG   HandlerThread:26136 [system_info.py:probe():195] Probing system
2023-06-12 15:58:10,184 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started network monitoring
2023-06-12 15:58:10,185 DEBUG   HandlerThread:26136 [system_info.py:_probe_git():180] Probing git
2023-06-12 15:58:10,248 DEBUG   HandlerThread:26136 [system_info.py:_probe_git():188] Probing git done
2023-06-12 15:58:10,248 DEBUG   HandlerThread:26136 [system_info.py:probe():240] Probing system done
2023-06-12 15:58:10,248 DEBUG   HandlerThread:26136 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-12T13:58:10.184763', 'startedAt': '2023-06-12T13:58:09.039076', 'docker': None, 'cuda': None, 'args': ('--node-ip-address=127.0.0.1', '--node-manager-port=62763', '--object-store-name=tcp://127.0.0.1:62966', '--raylet-name=tcp://127.0.0.1:64079', '--redis-address=None', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--metrics-agent-port=64385', '--logging-rotate-bytes=536870912', '--logging-rotate-backup-count=5', '--gcs-address=127.0.0.1:65513', '--session-name=session_2023-06-12_08-41-33_271108_20492', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--webui=', '--startup-token=16', '--worker-launch-time-ms=1686552096939'), 'state': 'running', 'program': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'codePath': '..\\..\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'git': {'remote': 'https://github.com/AlienLime/RL-SC2-bot.git', 'commit': 'df135eb28f7757d6734a19440c4a9f154fb73934'}, 'email': 'emil@np12.dk', 'root': 'C:/Users/Emil WC/Bachelor/RL-SC2-bot', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 668.6041641235352}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-12 15:58:10,248 INFO    HandlerThread:26136 [system_monitor.py:probe():211] Finished collecting system info
2023-06-12 15:58:10,248 INFO    HandlerThread:26136 [system_monitor.py:probe():214] Publishing system info
2023-06-12 15:58:10,248 DEBUG   HandlerThread:26136 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-12 15:58:10,248 DEBUG   HandlerThread:26136 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-12 15:58:10,248 INFO    HandlerThread:26136 [system_monitor.py:probe():216] Finished publishing system info
2023-06-12 15:58:10,248 DEBUG   SenderThread:26136 [sender.py:send():375] send: files
2023-06-12 15:58:10,248 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-12 15:58:10,264 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: stop_status
2023-06-12 15:58:10,264 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: stop_status
2023-06-12 15:58:10,515 DEBUG   SenderThread:26136 [sender.py:send():375] send: telemetry
2023-06-12 15:58:10,515 DEBUG   SenderThread:26136 [sender.py:send():375] send: config
2023-06-12 15:58:10,577 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-12 15:58:10,577 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: log_artifact
2023-06-12 15:58:10,593 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: partial_history
2023-06-12 15:58:10,983 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\media\table\episode_rewards_table_0_7c9ba90a29766b5a2b30.table.json
2023-06-12 15:58:10,984 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\wandb-metadata.json
2023-06-12 15:58:10,984 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\wandb-summary.json
2023-06-12 15:58:10,984 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\requirements.txt
2023-06-12 15:58:10,984 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\output.log
2023-06-12 15:58:10,985 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\media
2023-06-12 15:58:10,985 INFO    Thread-183:26136 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\media\table
2023-06-12 15:58:11,314 INFO    wandb-upload_0:26136 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmplyf87qfzwandb\c93d2vpe-wandb-metadata.json
2023-06-12 15:58:11,617 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-12 15:58:12,652 INFO    wandb-upload_0:26136 [upload_job.py:push():95] Uploaded file C:\Users\Emil WC\AppData\Local\wandb\wandb\artifacts\staging\tmpr7ok1727
2023-06-12 15:58:12,996 INFO    Thread-183:26136 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_155809-ily8k7fn\files\output.log
2023-06-12 15:58:13,703 INFO    SenderThread:26136 [sender.py:send_request_log_artifact():1438] logged artifact run-ily8k7fn-episode_rewards_table - {'id': 'QXJ0aWZhY3Q6NDg1MDEzNjU0', 'digest': '7a6ea46af89cead0c37fdb3f5d7cc760', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjc2MjM5NjAw', 'latestArtifact': None}, 'version': 'latest'}
2023-06-12 15:58:13,703 DEBUG   SenderThread:26136 [sender.py:send():375] send: files
2023-06-12 15:58:13,703 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file media\table\episode_rewards_table_0_7c9ba90a29766b5a2b30.table.json with policy now
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send():375] send: history
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: summary_record
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send():375] send: telemetry
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send():375] send: exit
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:send_exit():598] handling exit code: 0
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:send_exit():600] handling runtime: 0
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:send_exit():606] send defer
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: poll_exit
2023-06-12 15:58:13,719 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: defer
2023-06-12 15:58:13,719 INFO    HandlerThread:26136 [handler.py:handle_request_defer():170] handle defer: 0
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: defer
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:send_request_defer():622] handle sender defer: 0
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:transition_state():626] send defer: 1
2023-06-12 15:58:13,719 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: defer
2023-06-12 15:58:13,719 INFO    HandlerThread:26136 [handler.py:handle_request_defer():170] handle defer: 1
2023-06-12 15:58:13,719 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: defer
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:send_request_defer():622] handle sender defer: 1
2023-06-12 15:58:13,719 INFO    SenderThread:26136 [sender.py:transition_state():626] send defer: 2
2023-06-12 15:58:13,719 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: defer
