2023-06-13 00:49:23,901 INFO    StreamThr :23612 [internal.py:wandb_internal():86] W&B internal server running at pid: 23612, started at: 2023-06-13 00:49:23.901073
2023-06-13 00:49:23,901 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: status
2023-06-13 00:49:23,913 INFO    WriterThread:23612 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\run-xbcg5xjn.wandb
2023-06-13 00:49:23,914 DEBUG   SenderThread:23612 [sender.py:send():375] send: header
2023-06-13 00:49:23,994 DEBUG   SenderThread:23612 [sender.py:send():375] send: run
2023-06-13 00:49:24,713 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: check_version
2023-06-13 00:49:24,713 INFO    SenderThread:23612 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files
2023-06-13 00:49:24,713 INFO    SenderThread:23612 [sender.py:_start_run_threads():1124] run started: xbcg5xjn with start time 1686610163.91067
2023-06-13 00:49:24,713 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: summary_record
2023-06-13 00:49:24,713 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 00:49:24,713 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: check_version
2023-06-13 00:49:25,063 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: run_start
2023-06-13 00:49:25,095 DEBUG   HandlerThread:23612 [system_info.py:__init__():31] System info init
2023-06-13 00:49:25,095 DEBUG   HandlerThread:23612 [system_info.py:__init__():46] System info init done
2023-06-13 00:49:25,095 INFO    HandlerThread:23612 [system_monitor.py:start():181] Starting system monitor
2023-06-13 00:49:25,095 INFO    SystemMonitor:23612 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-13 00:49:25,095 INFO    HandlerThread:23612 [system_monitor.py:probe():201] Collecting system info
2023-06-13 00:49:25,095 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started cpu monitoring
2023-06-13 00:49:25,095 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started disk monitoring
2023-06-13 00:49:25,095 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started gpu monitoring
2023-06-13 00:49:25,110 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started memory monitoring
2023-06-13 00:49:25,110 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started network monitoring
2023-06-13 00:49:25,126 DEBUG   HandlerThread:23612 [system_info.py:probe():195] Probing system
2023-06-13 00:49:25,126 DEBUG   HandlerThread:23612 [system_info.py:_probe_git():180] Probing git
2023-06-13 00:49:25,188 DEBUG   HandlerThread:23612 [system_info.py:_probe_git():188] Probing git done
2023-06-13 00:49:25,188 DEBUG   HandlerThread:23612 [system_info.py:probe():240] Probing system done
2023-06-13 00:49:25,188 DEBUG   HandlerThread:23612 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-12T22:49:25.126335', 'startedAt': '2023-06-12T22:49:23.885545', 'docker': None, 'cuda': None, 'args': ('--node-ip-address=127.0.0.1', '--node-manager-port=54633', '--object-store-name=tcp://127.0.0.1:62217', '--raylet-name=tcp://127.0.0.1:60017', '--redis-address=None', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--metrics-agent-port=57377', '--logging-rotate-bytes=536870912', '--logging-rotate-backup-count=5', '--gcs-address=127.0.0.1:59162', '--session-name=session_2023-06-12_23-55-20_466030_14516', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--webui=', '--startup-token=16', '--worker-launch-time-ms=1686606923533'), 'state': 'running', 'program': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'codePath': '..\\..\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'git': {'remote': 'https://github.com/AlienLime/RL-SC2-bot.git', 'commit': 'df135eb28f7757d6734a19440c4a9f154fb73934'}, 'email': 'emil@np12.dk', 'root': 'C:/Users/Emil WC/Bachelor/RL-SC2-bot', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 668.4154319763184}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-13 00:49:25,188 INFO    HandlerThread:23612 [system_monitor.py:probe():211] Finished collecting system info
2023-06-13 00:49:25,188 INFO    HandlerThread:23612 [system_monitor.py:probe():214] Publishing system info
2023-06-13 00:49:25,188 DEBUG   HandlerThread:23612 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-13 00:49:25,188 DEBUG   HandlerThread:23612 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-13 00:49:25,188 INFO    HandlerThread:23612 [system_monitor.py:probe():216] Finished publishing system info
2023-06-13 00:49:25,270 DEBUG   SenderThread:23612 [sender.py:send():375] send: files
2023-06-13 00:49:25,271 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-13 00:49:25,273 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: stop_status
2023-06-13 00:49:25,273 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: stop_status
2023-06-13 00:49:25,588 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-13 00:49:25,588 DEBUG   SenderThread:23612 [sender.py:send():375] send: telemetry
2023-06-13 00:49:25,588 DEBUG   SenderThread:23612 [sender.py:send():375] send: config
2023-06-13 00:49:25,588 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: log_artifact
2023-06-13 00:49:25,736 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\wandb-summary.json
2023-06-13 00:49:25,737 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\requirements.txt
2023-06-13 00:49:25,738 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\wandb-metadata.json
2023-06-13 00:49:25,739 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\media\table\episode_rewards_table_0_a53ded75faa3c41c4ac5.table.json
2023-06-13 00:49:25,739 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\output.log
2023-06-13 00:49:25,739 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\media
2023-06-13 00:49:25,739 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\media\table
2023-06-13 00:49:26,195 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: partial_history
2023-06-13 00:49:26,541 INFO    wandb-upload_0:23612 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmpvx1o2_vawandb\p856l6xo-wandb-metadata.json
2023-06-13 00:49:27,216 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-13 00:49:27,755 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\output.log
2023-06-13 00:49:27,943 INFO    wandb-upload_0:23612 [upload_job.py:push():95] Uploaded file C:\Users\Emil WC\AppData\Local\wandb\wandb\artifacts\staging\tmpi2pj131s
2023-06-13 00:49:29,196 INFO    SenderThread:23612 [sender.py:send_request_log_artifact():1438] logged artifact run-xbcg5xjn-episode_rewards_table - {'id': 'QXJ0aWZhY3Q6NDg1NDI2NjQy', 'digest': 'c6adfcf9353ddc1318d9adb892cf5594', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjc2MzIwMTAz', 'latestArtifact': None}, 'version': 'latest'}
2023-06-13 00:49:29,196 DEBUG   SenderThread:23612 [sender.py:send():375] send: files
2023-06-13 00:49:29,197 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file media\table\episode_rewards_table_0_a53ded75faa3c41c4ac5.table.json with policy now
2023-06-13 00:49:29,197 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: status_report
2023-06-13 00:49:29,197 DEBUG   SenderThread:23612 [sender.py:send():375] send: history
2023-06-13 00:49:29,197 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: summary_record
2023-06-13 00:49:29,198 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 00:49:29,198 DEBUG   SenderThread:23612 [sender.py:send():375] send: telemetry
2023-06-13 00:49:29,198 DEBUG   SenderThread:23612 [sender.py:send():375] send: exit
2023-06-13 00:49:29,198 INFO    SenderThread:23612 [sender.py:send_exit():598] handling exit code: 0
2023-06-13 00:49:29,199 INFO    SenderThread:23612 [sender.py:send_exit():600] handling runtime: 1
2023-06-13 00:49:29,199 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 00:49:29,199 INFO    SenderThread:23612 [sender.py:send_exit():606] send defer
2023-06-13 00:49:29,199 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: poll_exit
2023-06-13 00:49:29,199 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,200 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 0
2023-06-13 00:49:29,201 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,201 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 0
2023-06-13 00:49:29,201 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 1
2023-06-13 00:49:29,202 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,202 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 1
2023-06-13 00:49:29,202 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,202 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 1
2023-06-13 00:49:29,202 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 2
2023-06-13 00:49:29,202 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,202 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 2
2023-06-13 00:49:29,202 INFO    HandlerThread:23612 [system_monitor.py:finish():190] Stopping system monitor
2023-06-13 00:49:29,202 DEBUG   SystemMonitor:23612 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-06-13 00:49:29,208 DEBUG   SystemMonitor:23612 [system_monitor.py:_start():166] Finished system metrics aggregation loop
2023-06-13 00:49:29,208 INFO    HandlerThread:23612 [interfaces.py:finish():202] Joined cpu monitor
2023-06-13 00:49:29,208 DEBUG   SystemMonitor:23612 [system_monitor.py:_start():170] Publishing last batch of metrics
2023-06-13 00:49:29,208 INFO    HandlerThread:23612 [interfaces.py:finish():202] Joined disk monitor
2023-06-13 00:49:29,241 INFO    HandlerThread:23612 [interfaces.py:finish():202] Joined gpu monitor
2023-06-13 00:49:29,241 INFO    HandlerThread:23612 [interfaces.py:finish():202] Joined memory monitor
2023-06-13 00:49:29,241 INFO    HandlerThread:23612 [interfaces.py:finish():202] Joined network monitor
2023-06-13 00:49:29,242 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,242 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 2
2023-06-13 00:49:29,242 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 3
2023-06-13 00:49:29,242 DEBUG   SenderThread:23612 [sender.py:send():375] send: stats
2023-06-13 00:49:29,242 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,242 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 3
2023-06-13 00:49:29,242 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,243 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 3
2023-06-13 00:49:29,243 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 4
2023-06-13 00:49:29,243 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,243 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 4
2023-06-13 00:49:29,243 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,243 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 4
2023-06-13 00:49:29,243 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 5
2023-06-13 00:49:29,243 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,243 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 5
2023-06-13 00:49:29,244 DEBUG   SenderThread:23612 [sender.py:send():375] send: summary
2023-06-13 00:49:29,244 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 00:49:29,244 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,244 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 5
2023-06-13 00:49:29,244 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 6
2023-06-13 00:49:29,244 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,244 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 6
2023-06-13 00:49:29,245 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,245 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 6
2023-06-13 00:49:29,247 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: status_report
2023-06-13 00:49:29,472 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 7
2023-06-13 00:49:29,472 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,472 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 7
2023-06-13 00:49:29,472 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,472 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 7
2023-06-13 00:49:29,697 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 8
2023-06-13 00:49:29,697 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,697 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 8
2023-06-13 00:49:29,697 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 00:49:29,697 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 8
2023-06-13 00:49:29,784 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\config.yaml
2023-06-13 00:49:29,784 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\output.log
2023-06-13 00:49:29,784 INFO    Thread-16 :23612 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_004923-xbcg5xjn\files\wandb-summary.json
2023-06-13 00:49:29,784 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 9
2023-06-13 00:49:29,784 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 00:49:29,784 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 9
2023-06-13 00:49:29,784 DEBUG   SenderThread:23612 [sender.py:send():375] send: artifact
