2023-06-13 01:42:31,974 INFO    StreamThr :23612 [internal.py:wandb_internal():86] W&B internal server running at pid: 23612, started at: 2023-06-13 01:42:31.971788
2023-06-13 01:42:31,974 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: status
2023-06-13 01:42:31,979 INFO    WriterThread:23612 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\run-v8qf3lmh.wandb
2023-06-13 01:42:31,980 DEBUG   SenderThread:23612 [sender.py:send():375] send: header
2023-06-13 01:42:32,043 DEBUG   SenderThread:23612 [sender.py:send():375] send: run
2023-06-13 01:42:33,030 INFO    SenderThread:23612 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files
2023-06-13 01:42:33,030 INFO    SenderThread:23612 [sender.py:_start_run_threads():1124] run started: v8qf3lmh with start time 1686613351.974793
2023-06-13 01:42:33,030 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: summary_record
2023-06-13 01:42:33,030 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 01:42:33,030 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: check_version
2023-06-13 01:42:33,030 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: check_version
2023-06-13 01:42:33,224 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: run_start
2023-06-13 01:42:33,224 DEBUG   HandlerThread:23612 [system_info.py:__init__():31] System info init
2023-06-13 01:42:33,224 DEBUG   HandlerThread:23612 [system_info.py:__init__():46] System info init done
2023-06-13 01:42:33,224 INFO    HandlerThread:23612 [system_monitor.py:start():181] Starting system monitor
2023-06-13 01:42:33,224 INFO    SystemMonitor:23612 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-13 01:42:33,224 INFO    HandlerThread:23612 [system_monitor.py:probe():201] Collecting system info
2023-06-13 01:42:33,224 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started cpu monitoring
2023-06-13 01:42:33,224 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started disk monitoring
2023-06-13 01:42:33,224 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started gpu monitoring
2023-06-13 01:42:33,241 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started memory monitoring
2023-06-13 01:42:33,241 DEBUG   HandlerThread:23612 [system_info.py:probe():195] Probing system
2023-06-13 01:42:33,256 INFO    SystemMonitor:23612 [interfaces.py:start():190] Started network monitoring
2023-06-13 01:42:33,256 DEBUG   HandlerThread:23612 [system_info.py:_probe_git():180] Probing git
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [system_info.py:_probe_git():188] Probing git done
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [system_info.py:probe():240] Probing system done
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-12T23:42:33.256314', 'startedAt': '2023-06-12T23:42:31.964924', 'docker': None, 'cuda': None, 'args': ('--node-ip-address=127.0.0.1', '--node-manager-port=54633', '--object-store-name=tcp://127.0.0.1:62217', '--raylet-name=tcp://127.0.0.1:60017', '--redis-address=None', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--metrics-agent-port=57377', '--logging-rotate-bytes=536870912', '--logging-rotate-backup-count=5', '--gcs-address=127.0.0.1:59162', '--session-name=session_2023-06-12_23-55-20_466030_14516', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--webui=', '--startup-token=16', '--worker-launch-time-ms=1686606923533'), 'state': 'running', 'program': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'codePath': '..\\..\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'git': {'remote': 'https://github.com/AlienLime/RL-SC2-bot.git', 'commit': 'df135eb28f7757d6734a19440c4a9f154fb73934'}, 'email': 'emil@np12.dk', 'root': 'C:/Users/Emil WC/Bachelor/RL-SC2-bot', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 668.4067115783691}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-13 01:42:33,350 INFO    HandlerThread:23612 [system_monitor.py:probe():211] Finished collecting system info
2023-06-13 01:42:33,350 INFO    HandlerThread:23612 [system_monitor.py:probe():214] Publishing system info
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-13 01:42:33,350 INFO    HandlerThread:23612 [system_monitor.py:probe():216] Finished publishing system info
2023-06-13 01:42:33,350 DEBUG   SenderThread:23612 [sender.py:send():375] send: files
2023-06-13 01:42:33,350 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-13 01:42:33,350 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: stop_status
2023-06-13 01:42:33,350 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: stop_status
2023-06-13 01:42:33,643 DEBUG   SenderThread:23612 [sender.py:send():375] send: telemetry
2023-06-13 01:42:33,643 DEBUG   SenderThread:23612 [sender.py:send():375] send: config
2023-06-13 01:42:33,663 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-13 01:42:33,663 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: log_artifact
2023-06-13 01:42:33,672 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: partial_history
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\wandb-summary.json
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\wandb-metadata.json
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\media\table\episode_rewards_table_0_7cfe94265edc2d33f977.table.json
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\requirements.txt
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\output.log
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\media
2023-06-13 01:42:34,048 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\media\table
2023-06-13 01:42:34,390 INFO    wandb-upload_0:23612 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmpws_j70siwandb\1rhq6r53-wandb-metadata.json
2023-06-13 01:42:34,683 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-13 01:42:35,429 INFO    wandb-upload_0:23612 [upload_job.py:push():95] Uploaded file C:\Users\Emil WC\AppData\Local\wandb\wandb\artifacts\staging\tmpkzbmlam7
2023-06-13 01:42:36,055 INFO    Thread-33 :23612 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230613_014231-v8qf3lmh\files\output.log
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_request_log_artifact():1438] logged artifact run-v8qf3lmh-episode_rewards_table - {'id': 'QXJ0aWZhY3Q6NDg1NDY5OTYx', 'digest': 'bb030e4a4b868bb822cb9a1abd90491d', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjc2MzI1NDcw', 'latestArtifact': None}, 'version': 'latest'}
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send():375] send: files
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file media\table\episode_rewards_table_0_7cfe94265edc2d33f977.table.json with policy now
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send():375] send: history
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: summary_record
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send():375] send: telemetry
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send():375] send: exit
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_exit():598] handling exit code: 0
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_exit():600] handling runtime: 0
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_exit():606] send defer
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: poll_exit
2023-06-13 01:42:36,725 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 01:42:36,725 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 0
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 0
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 1
2023-06-13 01:42:36,725 DEBUG   HandlerThread:23612 [handler.py:handle_request():144] handle_request: defer
2023-06-13 01:42:36,725 INFO    HandlerThread:23612 [handler.py:handle_request_defer():170] handle defer: 1
2023-06-13 01:42:36,725 DEBUG   SenderThread:23612 [sender.py:send_request():402] send_request: defer
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:send_request_defer():622] handle sender defer: 1
2023-06-13 01:42:36,725 INFO    SenderThread:23612 [sender.py:transition_state():626] send defer: 2
