2023-06-15 07:50:41,851 INFO    StreamThr :13592 [internal.py:wandb_internal():86] W&B internal server running at pid: 13592, started at: 2023-06-15 07:50:41.846768
2023-06-15 07:50:41,852 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: status
2023-06-15 07:50:41,852 INFO    WriterThread:13592 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230615_075041-xcws9ti8\run-xcws9ti8.wandb
2023-06-15 07:50:41,856 DEBUG   SenderThread:13592 [sender.py:send():375] send: header
2023-06-15 07:50:41,924 DEBUG   SenderThread:13592 [sender.py:send():375] send: run
2023-06-15 07:50:45,448 INFO    SenderThread:13592 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230615_075041-xcws9ti8\files
2023-06-15 07:50:45,448 INFO    SenderThread:13592 [sender.py:_start_run_threads():1124] run started: xcws9ti8 with start time 1686808241.85279
2023-06-15 07:50:45,448 DEBUG   SenderThread:13592 [sender.py:send_request():402] send_request: summary_record
2023-06-15 07:50:45,448 INFO    SenderThread:13592 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-15 07:50:45,463 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: check_version
2023-06-15 07:50:45,463 DEBUG   SenderThread:13592 [sender.py:send_request():402] send_request: check_version
2023-06-15 07:50:45,809 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: run_start
2023-06-15 07:50:45,809 DEBUG   HandlerThread:13592 [system_info.py:__init__():31] System info init
2023-06-15 07:50:45,809 DEBUG   HandlerThread:13592 [system_info.py:__init__():46] System info init done
2023-06-15 07:50:45,809 INFO    HandlerThread:13592 [system_monitor.py:start():181] Starting system monitor
2023-06-15 07:50:45,809 INFO    SystemMonitor:13592 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-15 07:50:45,809 INFO    HandlerThread:13592 [system_monitor.py:probe():201] Collecting system info
2023-06-15 07:50:45,825 INFO    SystemMonitor:13592 [interfaces.py:start():190] Started cpu monitoring
2023-06-15 07:50:45,825 INFO    SystemMonitor:13592 [interfaces.py:start():190] Started disk monitoring
2023-06-15 07:50:45,825 INFO    SystemMonitor:13592 [interfaces.py:start():190] Started gpu monitoring
2023-06-15 07:50:45,825 INFO    SystemMonitor:13592 [interfaces.py:start():190] Started memory monitoring
2023-06-15 07:50:45,845 DEBUG   HandlerThread:13592 [system_info.py:probe():195] Probing system
2023-06-15 07:50:45,853 INFO    SystemMonitor:13592 [interfaces.py:start():190] Started network monitoring
2023-06-15 07:50:45,854 DEBUG   HandlerThread:13592 [system_info.py:_probe_git():180] Probing git
2023-06-15 07:50:45,935 DEBUG   HandlerThread:13592 [system_info.py:_probe_git():188] Probing git done
2023-06-15 07:50:45,935 DEBUG   HandlerThread:13592 [system_info.py:probe():240] Probing system done
2023-06-15 07:50:45,935 DEBUG   HandlerThread:13592 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-15T05:50:45.845151', 'startedAt': '2023-06-15T05:50:41.836739', 'docker': None, 'cuda': None, 'args': ('--node-ip-address=127.0.0.1', '--node-manager-port=60224', '--object-store-name=tcp://127.0.0.1:62042', '--raylet-name=tcp://127.0.0.1:64753', '--redis-address=None', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--metrics-agent-port=62492', '--logging-rotate-bytes=536870912', '--logging-rotate-backup-count=5', '--gcs-address=127.0.0.1:62846', '--session-name=session_2023-06-15_00-12-09_899756_1184', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--webui=', '--startup-token=16', '--worker-launch-time-ms=1686780733720'), 'state': 'running', 'program': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'codePath': '..\\..\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'git': {'remote': 'https://github.com/AlienLime/RL-SC2-bot.git', 'commit': 'ae13c514d3e8af56b0336e232d85c545bd82f4a9'}, 'email': 'emil@np12.dk', 'root': 'C:/Users/Emil WC/Bachelor/RL-SC2-bot', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 672.7010383605957}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-15 07:50:45,935 INFO    HandlerThread:13592 [system_monitor.py:probe():211] Finished collecting system info
2023-06-15 07:50:45,935 INFO    HandlerThread:13592 [system_monitor.py:probe():214] Publishing system info
2023-06-15 07:50:45,935 DEBUG   HandlerThread:13592 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-15 07:50:45,935 DEBUG   HandlerThread:13592 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-15 07:50:45,935 INFO    HandlerThread:13592 [system_monitor.py:probe():216] Finished publishing system info
2023-06-15 07:50:45,951 DEBUG   SenderThread:13592 [sender.py:send():375] send: files
2023-06-15 07:50:45,951 INFO    SenderThread:13592 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-15 07:50:45,951 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: stop_status
2023-06-15 07:50:45,951 DEBUG   SenderThread:13592 [sender.py:send_request():402] send_request: stop_status
2023-06-15 07:50:46,271 DEBUG   SenderThread:13592 [sender.py:send():375] send: telemetry
2023-06-15 07:50:46,287 DEBUG   SenderThread:13592 [sender.py:send():375] send: config
2023-06-15 07:50:46,334 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-15 07:50:46,334 DEBUG   SenderThread:13592 [sender.py:send_request():402] send_request: log_artifact
2023-06-15 07:50:46,350 DEBUG   HandlerThread:13592 [handler.py:handle_request():144] handle_request: partial_history
