2023-06-16 09:27:04,080 INFO    StreamThr :32784 [internal.py:wandb_internal():86] W&B internal server running at pid: 32784, started at: 2023-06-16 09:27:04.080828
2023-06-16 09:27:04,080 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: status
2023-06-16 09:27:04,087 INFO    WriterThread:32784 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_092704-cuon131f\run-cuon131f.wandb
2023-06-16 09:27:04,088 DEBUG   SenderThread:32784 [sender.py:send():375] send: header
2023-06-16 09:27:04,158 DEBUG   SenderThread:32784 [sender.py:send():375] send: run
2023-06-16 09:27:04,832 INFO    SenderThread:32784 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_092704-cuon131f\files
2023-06-16 09:27:04,832 INFO    SenderThread:32784 [sender.py:_start_run_threads():1124] run started: cuon131f with start time 1686900424.080828
2023-06-16 09:27:04,832 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: summary_record
2023-06-16 09:27:04,832 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: check_version
2023-06-16 09:27:04,832 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 09:27:04,832 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: check_version
2023-06-16 09:27:05,121 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: run_start
2023-06-16 09:27:05,137 DEBUG   HandlerThread:32784 [system_info.py:__init__():31] System info init
2023-06-16 09:27:05,137 DEBUG   HandlerThread:32784 [system_info.py:__init__():46] System info init done
2023-06-16 09:27:05,137 INFO    HandlerThread:32784 [system_monitor.py:start():181] Starting system monitor
2023-06-16 09:27:05,137 INFO    SystemMonitor:32784 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-16 09:27:05,137 INFO    HandlerThread:32784 [system_monitor.py:probe():201] Collecting system info
2023-06-16 09:27:05,137 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started cpu monitoring
2023-06-16 09:27:05,137 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started disk monitoring
2023-06-16 09:27:05,137 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started gpu monitoring
2023-06-16 09:27:05,153 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started memory monitoring
2023-06-16 09:27:05,153 DEBUG   HandlerThread:32784 [system_info.py:probe():195] Probing system
2023-06-16 09:27:05,172 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started network monitoring
2023-06-16 09:27:05,172 DEBUG   HandlerThread:32784 [system_info.py:_probe_git():180] Probing git
2023-06-16 09:27:05,263 DEBUG   HandlerThread:32784 [system_info.py:_probe_git():188] Probing git done
2023-06-16 09:27:05,263 DEBUG   HandlerThread:32784 [system_info.py:probe():240] Probing system done
2023-06-16 09:27:05,263 DEBUG   HandlerThread:32784 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.10.10', 'heartbeatAt': '2023-06-16T07:27:05.153314', 'startedAt': '2023-06-16T07:27:04.072317', 'docker': None, 'cuda': None, 'args': ('--node-ip-address=127.0.0.1', '--node-manager-port=60394', '--object-store-name=tcp://127.0.0.1:61471', '--raylet-name=tcp://127.0.0.1:65284', '--redis-address=None', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--metrics-agent-port=61096', '--logging-rotate-bytes=536870912', '--logging-rotate-backup-count=5', '--gcs-address=127.0.0.1:61289', '--session-name=session_2023-06-15_23-49-26_244107_35088', '--temp-dir=C:\\Users\\EMILWC~1\\AppData\\Local\\Temp\\ray', '--webui=', '--startup-token=16', '--worker-launch-time-ms=1686865770158'), 'state': 'running', 'program': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'codePath': '..\\..\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\ray\\_private\\workers\\default_worker.py', 'git': {'remote': 'https://github.com/AlienLime/RL-SC2-bot.git', 'commit': '0039c6e1d45ffd9c19f11836dbd88bfbbdad8aee'}, 'email': 'emil@np12.dk', 'root': 'C:/Users/Emil WC/Bachelor/RL-SC2-bot', 'host': 'DESKTOP-C36C3C6', 'username': 'Emil WC', 'executable': 'C:\\Users\\Emil WC\\AppData\\Local\\Programs\\Python\\Python310\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2904.0, 'min': 0.0, 'max': 2904.0}, 'cpu_freq_per_core': [{'current': 2904.0, 'min': 0.0, 'max': 2904.0}], 'disk': {'total': 930.5849571228027, 'used': 675.7547607421875}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.856761932373047}}
2023-06-16 09:27:05,263 INFO    HandlerThread:32784 [system_monitor.py:probe():211] Finished collecting system info
2023-06-16 09:27:05,263 INFO    HandlerThread:32784 [system_monitor.py:probe():214] Publishing system info
2023-06-16 09:27:05,263 DEBUG   HandlerThread:32784 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-16 09:27:05,263 DEBUG   HandlerThread:32784 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-16 09:27:05,263 INFO    HandlerThread:32784 [system_monitor.py:probe():216] Finished publishing system info
2023-06-16 09:27:05,278 DEBUG   SenderThread:32784 [sender.py:send():375] send: files
2023-06-16 09:27:05,278 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-16 09:27:05,278 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: stop_status
2023-06-16 09:27:05,278 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: stop_status
2023-06-16 09:27:05,558 DEBUG   SenderThread:32784 [sender.py:send():375] send: telemetry
2023-06-16 09:27:05,573 DEBUG   SenderThread:32784 [sender.py:send():375] send: config
2023-06-16 09:27:05,605 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-16 09:27:05,605 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: log_artifact
